55	Aluminium	101.72	11.381	4	137.31	102.07	1.5973	163.03	1.14	3.05	132.21	23.07	28.35	TRUE	no	54
56	Aluminium	12.069	3.92	2	63.07	101.36	2.1075	132.42	0.95	1.38	195.15	42.14	39.66	TRUE	no	55
57	Aluminium	74.137	9.7157	3	155.13	101.57	3.0687	172.49	1.22	2.94	130.18	20.88	31.18	TRUE	edge	56
58	Aluminium	13.793	4.1907	2	7.63	102.56	1.2564	96.358	0.69	2.49	2.08	38.14	86.48	TRUE	no	57
59	Aluminium	1286.2	40.468	10	74.74	121.01	1.1602	164.62	2.1	6.78	194.23	42.56	37.9	TRUE	no	58
60	Aluminium	268.96	18.506	3	17.76	108.31	3.4631	1.6134	0.98	3.58	291.21	16.4	43.27	TRUE	edge	59
61	Aluminium	47.413	7.7697	4	151.07	106	3.1118	169.73	0.92	1.7	132.12	22.18	29.03	TRUE	no	60
62	Aluminium	2092.2	51.613	13	30.67	138.45	1.4775	160.38	6.5	21.67	191.65	44.3	35.3	TRUE	edge	61
63	Aluminium	12.931	4.0576	2	162.4	108.67	2.6534	88.748	1.04	1.77	271.34	36.12	62.68	TRUE	edge	62
64	Aluminium	1201.7	39.116	7	131.62	126.4	1.8653	164.3	2.49	10.22	193.69	43.07	37.99	TRUE	edge	63
65	Aluminium	8.6206	3.313	1	146.7	110.2	1.1151	109.33	0.68	1.25	194.33	41.67	39.8	TRUE	no	64
66	Aluminium	18.103	4.801	2	159.76	112.48	3.0613	147.1	0.93	1.84	193.35	41.69	39.97	TRUE	edge	65
67	Aluminium	34.482	6.626	1	151.27	115.1	1.2726	133.51	1.11	2.55	193.52	42.17	38.76	TRUE	no	66
68	Aluminium	10.345	3.6292	0	99.75	114.5	1.9926	98.31	1.02	1.64	194.64	42.05	37.86	TRUE	no	67
70	Aluminium	16.379	4.5667	2	133.68	121.74	1.7186	38.503	0.83	1.43	193.66	42.26	39.29	TRUE	no	69
71	Aluminium	13.793	4.1907	2	138.06	121.06	1.9887	25.983	1.37	2.54	193.35	43.07	40.1	TRUE	no	70
73	Aluminium	12.931	4.0576	1	162.4	125.53	3.3129	92.953	2.73	4.24	354.34	47.87	27.55	TRUE	edge	72
74	Aluminium	23.276	5.4438	0	108.04	129.37	2.3058	16.228	1.15	1.97	194.32	42.81	38.74	TRUE	no	73
75	Aluminium	11.207	3.7774	1	93.31	129.46	1.1565	131.94	1.02	2.52	194.5	41.55	37.05	TRUE	no	74
76	Aluminium	20.689	5.1325	1	101.46	136.38	2.5554	95.416	3.22	3.72	194.03	45.04	35.69	TRUE	no	75
77	Aluminium	15.517	4.4449	3	38.61	143.78	1.6099	77.947	1.8	3.09	48.29	46.19	64.86	TRUE	no	76
78	Aluminium	1169.8	38.593	17	106.61	149.97	7.8013	178.08	6.53	20.39	44.83	40.36	64.43	TRUE	edge	77
79	Aluminium	22.414	5.3421	2	69.77	143.38	1.8119	6.2466	2.3	4.5	49.18	46.37	64.53	TRUE	no	78
80	Aluminium	31.034	6.286	4	74.61	144.67	2.5619	20.046	2.45	3.39	57.98	44.25	57.93	TRUE	no	79
81	Aluminium	22.414	5.3421	2	33.65	145.19	1.8141	35.408	1.63	3.9	56.56	42.63	56.61	TRUE	no	80
82	Aluminium	15.517	4.4449	2	80.39	147.17	1.5619	91.818	2.68	4.4	45.02	38.91	65.87	TRUE	no	81
83	Aluminium	8.6206	3.313	1	121.1	148.5	1.318	109.9	2.56	3.92	48.15	44.59	63.58	TRUE	no	82
